1pumped_hydro,2battery,3pumped_hydro,4battery,5pumped_hydro,6battery,7pumped_hydro,8battery,9pumped_hydro,10battery,11pumped_hydro,12battery,13pumped_hydro,14battery,15pumped_hydro,16battery
0.0,237.5,0.0,0.0,-225.0,0.0,0.0,213.75,-300.0,0.0,-300.0,-13.157895,0.0,213.75,-225.0,0.0
-225.0,0.0,-225.0,0.0,-300.0,0.0,-300.0,-250.0,0.0,0.0,0.0,0.0,-225.0,0.0,-300.0,0.0
-300.0,-26.315789,-300.0,0.0,0.0,213.75,-300.0,0.0,-300.0,-13.157895,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0
-300.0,-250.0,-300.0,-13.157895,-300.0,-250.0,-225.0,0.0,-225.0,0.0,-225.0,0.0,-300.0,-250.0,0.0,213.75
-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,0.0,-300.0,0.0,-300.0,-250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,225.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,180.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,250.0,0.0,250.0,0.0,225.625
180.0,0.0,300.0,250.0,300.0,225.0,0.0,-250.0,300.0,250.0,0.0,0.0,0.0,-26.315789,0.0,-250.0
0.0,250.0,0.0,-250.0,300.0,250.0,0.0,-26.315789,0.0,-250.0,0.0,-26.315789,0.0,-250.0,300.0,250.0
0.0,0.0,0.0,200.625,180.0,0.0,0.0,-250.0,180.0,250.0,0.0,-250.0,0.0,-250.0,180.0,200.625
300.0,225.0,180.0,250.0,0.0,-250.0,300.0,250.0,0.0,-250.0,0.0,-250.0,180.0,225.0,0.0,-250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,300.0,250.0,300.0,250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,225.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.25,300.0,250.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,300.0,0.0,300.0,225.625,0.0,-250.0,300.0,250.0,0.0,0.0,0.0,-250.0,0.0,-250.0
