1pumped_hydro,2battery,3pumped_hydro,4battery,5pumped_hydro,6battery,7pumped_hydro,8battery,9pumped_hydro,10battery,11pumped_hydro,12battery,13pumped_hydro,14battery,15pumped_hydro,16battery
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.5,0.0,0.0,0.0,0.0,0.0,237.5
0.0,237.5,0.0,237.5,0.0,237.5,0.0,237.5,0.0,-250.0,0.0,237.5,0.0,237.5,0.0,-250.0
0.0,-250.0,0.0,-250.0,0.0,-250.0,0.0,-250.0,0.0,-26.315789,0.0,-250.0,0.0,-250.0,0.0,-26.315789
0.0,-250.0,0.0,-250.0,0.0,-250.0,0.0,-250.0,0.0,-250.0,0.0,-250.0,0.0,-250.0,0.0,-250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-26.315789,0.0,-26.315789,0.0,-26.315789,0.0,-26.315789,0.0,0.0,0.0,-26.315789,0.0,-26.315789,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,250.0,0.0,250.0,0.0,250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,225.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,250.0,0.0,225.0,0.0,225.0,0.0,225.0,0.0,250.0,0.0,225.0,0.0,225.0,0.0,225.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.75,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,213.75,0.0,0.0,0.0,213.125,0.0,0.0,0.0,250.0,0.0,213.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,250.0,300.0,250.0,0.0,-250.0,0.0,-250.0,0.0,-26.315789,300.0,250.0,0.0,-40.166205,0.0,-250.0
0.0,0.0,0.0,0.0,0.0,225.0,0.0,225.0,0.0,-250.0,0.0,213.125,0.0,-250.0,300.0,250.0
0.0,213.125,0.0,213.125,264.0,250.0,264.0,250.0,0.0,-250.0,0.0,-250.0,300.0,250.0,0.0,-250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-250.0,0.0,-250.0,0.0,0.0,0.0,0.0,300.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,225.625,0.0,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.625
0.0,-250.0,0.0,250.0,0.0,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-250.0,0.0,-250.0,0.0,225.625,0.0,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,250.0,0.0,250.0,0.0,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,177.5,0.0,153.125,0.0,225.625,0.0,225.625,0.0,225.0,0.0,201.875,0.0,225.0,0.0,250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0
0.0,237.5,-300.0,-250.0,-300.0,0.0,0.0,237.5,-225.0,-13.850416,0.0,237.5,-300.0,-40.166205,-300.0,-40.166205
-300.0,-26.315789,0.0,213.75,-300.0,-13.157895,-300.0,-250.0,0.0,250.0,-300.0,-250.0,0.0,250.0,0.0,250.0
-300.0,-250.0,-225.0,0.0,0.0,0.0,-225.0,201.875,-300.0,-26.315789,-225.0,201.875,-225.0,0.0,-225.0,0.0
-300.0,-250.0,-300.0,-250.0,-225.0,0.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0
0.0,0.0,-300.0,0.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0,-300.0,-250.0
-225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,176.875,300.0,0.0,300.0,250.0,300.0,225.0,300.0,250.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,300.0,225.0,96.0,0.0,300.0,225.0,300.0,250.0,96.0,0.0
0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,300.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,225.0,300.0,250.0,300.0,225.0,0.0,-250.0,300.0,250.0,0.0,-250.0,0.0,-54.709141,0.0,0.0
300.0,250.0,0.0,-250.0,300.0,250.0,0.0,0.0,0.0,-250.0,0.0,-250.0,300.0,250.0,0.0,0.0
0.0,-250.0,300.0,250.0,0.0,-250.0,0.0,-26.315789,0.0,-250.0,300.0,250.0,0.0,0.0,0.0,0.0
0.0,-250.0,0.0,-250.0,0.0,-250.0,0.0,-250.0,300.0,250.0,0.0,-250.0,0.0,-250.0,300.0,250.0
0.0,-26.315789,0.0,-250.0,0.0,-26.315789,0.0,0.0,0.0,-250.0,0.0,-53.3241,0.0,0.0,0.0,-27.700831
0.0,0.0,0.0,0.0,0.0,201.25,96.0,225.0,0.0,176.875,96.0,225.0,300.0,250.0,300.0,250.0
300.0,250.0,300.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,250.0,300.0,250.0,300.0,250.0,300.0,250.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,300.0,0.0
0.0,-250.0,0.0,-250.0,0.0,-250.0,0.0,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,250.0,300.0,250.0,0.0,-250.0,0.0,-27.00831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,225.0,300.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,200.625,96.0,200.625,300.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,152.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-250.0,0.0,-250.0,0.0,201.25,0.0,-250.0,0.0,201.25,0.0,-250.0,0.0,201.25,0.0,-250.0
0.0,250.0,0.0,250.0,0.0,-250.0,0.0,250.0,0.0,-250.0,0.0,250.0,0.0,-250.0,0.0,250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
