1pumped_hydro,2battery,3pumped_hydro,4battery,5pumped_hydro,6battery,7pumped_hydro,8battery,,2battery,4battery,6battery,8battery,1pumped_hydro,3pumped_hydro,5pumped_hydro,7pumped_hydro,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,6438.157735,6436.87484,6399.670895,6348.35511,-18450.66667,-18567.33333,-18852,-18852
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
