1pumped_hydro,2battery,3pumped_hydro,4battery,5pumped_hydro,6battery,7pumped_hydro,8battery,9pumped_hydro,10battery,11pumped_hydro,12battery
0.0,0.0,0.0,0.0,0.0,0.0,-41666.667,-2308.4026,-41666.667,-41666.667,-41666.667,-41666.667
0.0,0.0,0.0,0.0,0.0,35625.0,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667
0.0,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-6694.3675,-41666.667,-6694.3675
0.0,0.0,-41666.667,0.0,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667
0.0,35625.0,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667
0.0,0.0,-41666.667,-6694.3675,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-4501.385,-41666.667,-4501.385
0.0,0.0,0.0,0.0,0.0,0.0,-41666.667,-8887.35,-41666.667,-41666.667,-41666.667,-41666.667
0.0,0.0,0.0,0.0,0.0,33541.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667
0.0,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667
0.0,37604.167,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,33437.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29479.167,41666.667,41666.667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9002.7701,-9259.2593,-41666.667,-41666.667,-41666.667
0.0,0.0,0.0,-4501.385,0.0,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4385.9649
0.0,0.0,0.0,0.0,0.0,33541.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667
0.0,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667
0.0,37500.0,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9002.7701,0.0,-9002.7701,0.0,-9002.7701
0.0,0.0,0.0,-4616.8052,0.0,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667,-41666.667
0.0,41666.667,41666.667,41666.667,41666.667,41666.667,41666.667,37500.0,41666.667,41666.667,41666.667,41666.667
0.0,0.0,0.0,0.0,0.0,33437.5,41666.667,41666.667,41666.667,37500.0,41666.667,37500.0
0.0,-4385.9649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41666.667,0.0
