1pumped_hydro,2battery,3pumped_hydro,4battery,5pumped_hydro,6battery,7pumped_hydro,8battery,9pumped_hydro,10battery,11pumped_hydro,12battery
-125.0,0.0,-166.66667,0.0,-166.66667,-166.66667,-166.66667,-8.7719298,-166.66667,-166.66667,-166.66667,-8.7719298
-166.66667,-166.66667,0.0,0.0,-166.66667,0.0,-166.66667,0.0,-166.66667,-8.7719298,-166.66667,0.0
-166.66667,0.0,-125.0,0.0,-125.0,0.0,-125.0,0.0,-125.0,150.41667,-125.0,0.0
0.0,142.5,-166.66667,-166.66667,-166.66667,-8.7719298,-166.66667,-166.66667,-166.66667,-166.66667,-166.66667,-166.66667
-166.66667,-166.66667,-166.66667,-8.7719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166.66667,166.66667,166.66667,166.66667,100.0,166.66667,166.66667,166.66667,0.0,0.0,0.0,0.0
0.0,-166.66667,100.0,150.0,0.0,-166.66667,166.66667,150.0,0.0,0.0,0.0,0.0
0.0,166.66667,0.0,0.0,0.0,166.66667,0.0,0.0,0.0,166.66667,0.0,166.66667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-17.54386,0.0,0.0,0.0,-17.54386,0.0,0.0,0.0,0.0
0.0,-36.01108,0.0,-166.66667,0.0,-36.01108,0.0,-166.66667,0.0,-18.00554,0.0,-18.00554
0.0,-166.66667,0.0,-166.66667,0.0,-166.66667,0.0,-166.66667,0.0,-166.66667,0.0,-166.66667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,134.16667,0.0,134.16667,0.0,0.0,0.0,134.16667,0.0,0.0,100.0,166.66667
166.66667,166.66667,166.66667,166.66667,166.66667,150.0,166.66667,166.66667,166.66667,166.66667,0.0,-166.66667
0.0,-166.66667,0.0,-166.66667,166.66667,166.66667,0.0,-166.66667,0.0,-166.66667,166.66667,166.66667
0.0,-166.66667,0.0,-166.66667,0.0,-166.66667,0.0,-166.66667,0.0,0.0,0.0,117.91667
0.0,150.0,0.0,150.0,0.0,134.16667,0.0,166.66667,166.66667,166.66667,0.0,-166.66667
100.0,0.0,0.0,0.0,0.0,0.0,100.0,150.0,166.66667,133.75,0.0,-166.66667
166.66667,166.66667,166.66667,166.66667,0.0,-166.66667,0.0,-18.00554,0.0,-18.00554,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-166.66667,0.0,-166.66667,166.66667,166.66667,0.0,-166.66667,0.0,-166.66667,166.66667,166.66667
0.0,150.41667,0.0,150.41667,0.0,0.0,0.0,166.66667,100.0,166.66667,166.66667,150.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-125.0,0.0,-166.66667,-166.66667,0.0,0.0,-125.0,0.0,0.0,142.5,-166.66667,-8.7719298
-166.66667,-8.7719298,0.0,166.66667,-166.66667,-166.66667,-166.66667,0.0,-166.66667,-166.66667,-166.66667,0.0
0.0,0.0,0.0,0.0,-125.0,0.0,0.0,0.0,-166.66667,0.0,-125.0,0.0
-166.66667,-166.66667,-166.66667,-26.77747,0.0,142.5,0.0,0.0,-125.0,0.0,0.0,0.0
0.0,0.0,-166.66667,-166.66667,-166.66667,0.0,-166.66667,-166.66667,0.0,0.0,0.0,0.0
-166.66667,0.0,-125.0,0.0,-166.66667,-166.66667,-166.66667,-8.7719298,-166.66667,-166.66667,-166.66667,-166.66667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.66667,0.0
